;柜体标识,名称,图元搜索路径,存储路径
38,"1#高后备开关柜",">svg>g:eq(0)",""
39,"35kVPT柜",">svg>g:eq(1)",""
40,"35kV进线柜",">svg>g:eq(2)",""
41,"2#高后备开关柜",">svg>g:eq(4)",""
56,"1#PT柜",">svg>g:eq(0)",""
57,"厂用变",">svg>g:eq(1)",""
58,"2#PT柜",">svg>g:eq(2)",""
59,"1#电容器开关柜",">svg>g:eq(3)",""
60,"2#电容器开关柜",">svg>g:eq(4)",""
61,"1#馈线1开关柜",">svg>g:eq(5)",""
62,"1#馈线2开关柜",">svg>g:eq(6)",""
63,"1#馈线3开关柜",">svg>g:eq(7)",""
64,"母联柜",">svg>g:eq(8)",""
65,"2#馈线1开关柜",">svg>g:eq(9)",""
66,"2#馈线2开关柜",">svg>g:eq(10)",""
67,"2#馈线3开关柜",">svg>g:eq(11)",""
68,"1#低后备开关柜",">svg>g:eq(13)",""
69,"2#低后备开关柜",">svg>g:eq(15)",""
