0,MPTS_810Hb,IEC104,V1.01.01,,,,,,
1,1,0,手动并列启动,,,,,,
1,2,0,分段开关位置,,,,,,
1,3,0,Ⅰ段PT刀闸位置,,,,,,
1,4,0,Ⅱ段PT刀闸位置,,,,,,
1,5,0,遥控并列允许,,,,,,
1,6,0,遥控解列输入,,,,,,
1,7,0,遥控并列输入,,,,,,
1,8,0,自动并列允许,,,,,,
1,9,0,开入9,,,,,,
1,10,0,开入10,,,,,,
1,11,0,开入11,,,,,,
1,12,0,开入12,,,,,,
1,200,5,PT切换动作,,,,,,
1,201,5,Ⅰ段母线过压告警,,,,,,
1,202,5,Ⅱ段母线过压告警,,,,,,
1,203,5,Ⅰ段母线欠压告警,,,,,,
1,204,5,Ⅱ段母线欠压告警,,,,,,
1,205,5,Ⅰ段母线接地告警 ,,,,,,
1,206,5,Ⅱ段母线接地告警 ,,,,,,
1,207,5,Ⅰ段PT断线告警,,,,,,
1,208,5,Ⅱ段PT断线告警,,,,,,
1,209,0,备用,,,,,,
1,210,0,备用,,,,,,
1,211,0,备用,,,,,,
1,212,0,备用,,,,,,
1,213,0,备用,,,,,,
1,214,3,事故总信号,,,,,,
1,215,4,预告总信号,,,,,,
1,400,1,PT并列投退,,,,,,
1,401,1,手动并列投退,,,,,,
1,402,1,手动并列经PT刀闸,,,,,,
1,403,1,自动并列投退,,,,,,
1,404,1,自动并列经PT刀闸,,,,,,
1,405,1,遥控并列投退,,,,,,
1,406,1,遥控并列方式,,,,,,
1,407,1,遥控并列经PT刀闸,,,,,,
1,408,1,I段过电压告警投退,,,,,,
1,409,1,Ⅰ段低电压告警投退,,,,,,
1,410,1,Ⅱ段过电压告警投退,,,,,,
1,411,1,Ⅱ段低电压告警投退,,,,,,
1,412,1,Ⅰ段接地告警投退,,,,,,
1,413,1,Ⅱ段接地告警投退,,,,,,
1,414,1,Ⅰ段PT断线告警投退,,,,,,
1,415,1,Ⅱ段PT断线告警投退,,,,,,
5,3073,0,遥控并列/解列,3073,,,,,
5,4096,3,复归,4096,,,,,
5,3585,0,PT并列投退,3585,,,,,
5,3586,0,手动并列投退,3586,,,,,
5,3587,0,手动并列经PT刀闸,3587,,,,,
5,3588,0,自动并列投退,3588,,,,,
5,3589,0,自动并列经PT刀闸,3589,,,,,
5,3590,0,遥控并列投退,3590,,,,,
5,3591,0,遥控并列方式,3591,,,,,
5,3592,0,遥控并列经PT刀闸,3592,,,,,
5,3593,0,I段过电压告警投退,3593,,,,,
5,3594,0,Ⅰ段低电压告警投退,3594,,,,,
5,3595,0,Ⅱ段过电压告警投退,3595,,,,,
5,3596,0,Ⅱ段低电压告警投退,3596,,,,,
5,3597,0,Ⅰ段接地告警投退,3597,,,,,
5,3598,0,Ⅱ段接地告警投退,3598,,,,,
5,3599,0,Ⅰ段PT断线告警投退,3599,,,,,
5,3600,0,Ⅱ段PT断线告警投退,3600,,,,,
2,2049,2,V,1,0,2,Ua1,1,1
2,2050,2,V,1,0,2,Ub1,1,1
2,2051,2,V,1,0,2,Uc1,1,1
2,2052,2,V,1,0,2,Uab1,1,1
2,2053,2,V,1,0,2,Ubc1,1,1
2,2054,2,V,1,0,2,Uca1,1,1
2,2055,2,V,1,0,2,U01,1,1
2,2056,7,HZ,1,0,2,F1,1,1
2,2057,2,V,1,0,2,Ua2,1,1
2,2058,2,V,1,0,2,Ub2,1,1
2,2059,2,V,1,0,2,Uc2,1,1
2,2060,2,V,1,0,2,Uab2,1,1
2,2061,2,V,1,0,2,Ubc2,1,1
2,2062,2,V,1,0,2,Uca2,1,1
2,2063,2,V,1,0,2,U02,1,1
2,2064,7,HZ,1,0,2,F2,1,1
7,4867,6,4,,65535,0,1,1,投退字1[禁止修改]
7,4868,6,4,,65535,0,1,1,投退字2[禁止修改]
7,4869,6,4,,65535,0,1,1,投退字3[禁止修改]
7,4870,6,4,,65535,0,1,1,投退字4[禁止修改]
7,4871,6,4,V,150,10,0.01,1,Ⅰ段过压定值
7,4872,6,4,V,90,10,0.01,1,Ⅰ段低压定值
7,4873,6,4,V,60,5,0.01,1,Ⅰ段无压定值
7,4874,6,4,S,100,0.5,0.01,1,Ⅰ段过压延时
7,4875,6,4,S,100,0.5,0.01,1,Ⅰ段低压延时
7,4876,6,4,V,150,10,0.01,1,Ⅱ段过压定值
7,4877,6,4,V,90,10,0.01,1,Ⅱ段低压定值
7,4878,6,4,V,60,5,0.01,1,Ⅱ段无压定值
7,4879,6,4,S,100,0.5,0.01,1,Ⅱ段过压延时
7,4880,6,4,S,100,0.5,0.01,1,Ⅱ段低压延时
7,4881,6,4,V,100,1,0.01,1,Ⅰ段零序电压
7,4882,6,4,S,100,0.5,0.01,1,Ⅰ段零序延时
7,4883,6,4,V,100,1,0.01,1,Ⅱ段零序电压
7,4884,6,4,S,100,0.5,0.01,1,Ⅱ段零序延时
