;电度表
;所属厂站,所属通道,所属RTU,编号,名称,描述,地址,备地址,所属间隔,所属设备,点类型,量程单位,工程值转换系数,电度表满量程值,电度基数,人工置数,存储周期,属性
1,1,1,1,"RTU00001_MC00001","BRK-3215_IEC104_V1.00.01_正向有功","1201H","1201H",0,0,0,23,1,0,0,0,5,1
1,1,1,2,"RTU00001_MC00002","BRK-3215_IEC104_V1.00.01_正向无功","1202H","1202H",0,0,0,24,1,0,0,0,5,1
1,1,1,3,"RTU00001_MC00003","BRK-3215_IEC104_V1.00.01_反向有功","1203H","1203H",0,0,0,23,1,0,0,0,5,1
1,1,1,4,"RTU00001_MC00004","BRK-3215_IEC104_V1.00.01_反向无功","1204H","1204H",0,0,0,24,1,0,0,0,5,1
1,1,2,5,"RTU00002_MC00005","BRK-3215_IEC104_V1.00.01_正向有功","1201H","1201H",0,0,0,23,1,0,0,0,5,1
1,1,2,6,"RTU00002_MC00006","BRK-3215_IEC104_V1.00.01_正向无功","1202H","1202H",0,0,0,24,1,0,0,0,5,1
1,1,2,7,"RTU00002_MC00007","BRK-3215_IEC104_V1.00.01_反向有功","1203H","1203H",0,0,0,23,1,0,0,0,5,1
1,1,2,8,"RTU00002_MC00008","BRK-3215_IEC104_V1.00.01_反向无功","1204H","1204H",0,0,0,24,1,0,0,0,5,1
1,1,3,9,"RTU00003_MC00009","BRK-3251CH_IEC104_V1.00.01_正向有功","1201H","1201H",0,0,0,23,1,0,0,0,5,1
1,1,3,10,"RTU00003_MC00010","BRK-3251CH_IEC104_V1.00.01_正向无功","1202H","1202H",0,0,0,24,1,0,0,0,5,1
1,1,3,11,"RTU00003_MC00011","BRK-3251CH_IEC104_V1.00.01_反向有功","1203H","1203H",0,0,0,23,1,0,0,0,5,1
1,1,3,12,"RTU00003_MC00012","BRK-3251CH_IEC104_V1.00.01_反向无功","1204H","1204H",0,0,0,24,1,0,0,0,5,1
