;"术语表"
;"对应术语类型","编号","名称"
"1","1","动作"
"1","2","复归"
"1","3","合闸"
"1","4","分闸"
"1","5","拉出"
"1","6","推进"
"1","7","拉开"
"1","8","合上"
"1","9","未储能"
"1","10","已储能"
"1","11","投入"
"1","12","退出"
"2","1","A"
"2","2","V"
"2","3","kA"
"2","4","kV"
"2","5","Hz"
"2","6","kW"
"2","7","kVa"
"2","8","kVar"
"2","9","Mw"
"2","10","MVa"
"2","11","MVar"
"2","12","kWh"
"2","13","kVah"
"2","14","kVarh"
"2","15","MWh"
"2","16","MVah"
"2","17","MVarh"
"2","18","℃"
"2","19","W"
"2","20","Var"
"2","21","0"
"2","22","mA"
"2","23","Wh"
"2","24","varh"
"2","25","S"
"2","26","°"
"3","1","合闸"
"3","2","分闸"
"3","3","升"
"3","4","降"
"3","5","紧急停"
"4","0","正常"
"4","1","禁止操作"
"4","2","检修"
"4","3","停运"
"4","4","离线"
"4","5","故障"
"4","6","中间态"
"5","1","3kV"
"5","2","6kV"
"5","3","10kV"
"5","4","35kV"
"5","5","63kV"
"5","6","110kV"
"5","7","220kV"
"5","8","330kV"
"5","9","500kV"
"6","1","变压器"
"6","2","母线"
"6","3","线路"
"6","4","断路器"
"6","5","电容器"
"6","6","电压互感器"
"6","7","电流互感器"
"6","8","滤波器"
"6","9","发电机"
"6","10","电动机"
"8","0","厂矿电气监控系统"
"8","1","发电厂厂用电监控系统"
"8","2","变电站当地功能"
"8","3","集控站监控系统"
"8","4","调度自动化系统"
"8","5","水电站监控系统"
"8","6","泵站监控系统"
